,시도명,보조시설유무
1149,대전광역시,Z
1150,대전광역시,Z
1151,대전광역시,Z
1152,대전광역시,Z
1153,대전광역시,Z
1154,대전광역시,Z
1155,대전광역시,Z
1156,대전광역시,Z
1157,대전광역시,Z
1158,대전광역시,Z
1159,대전광역시,Z
1160,대전광역시,Z
1161,대전광역시,Z
1162,대전광역시,Z
1163,대전광역시,Z
1164,대전광역시,Z
1165,대전광역시,Z
1166,대전광역시,Z
1167,대전광역시,Z
1168,대전광역시,Z
1169,대전광역시,Z
1170,대전광역시,Z
1171,대전광역시,Z
1172,대전광역시,Z
1173,대전광역시,Z
1174,대전광역시,Z
1175,대전광역시,Z
1176,대전광역시,Z
1177,대전광역시,Z
1178,대전광역시,Z
1179,대전광역시,Z
1180,대전광역시,Z
1181,대전광역시,Z
1182,대전광역시,Z
1183,대전광역시,Z
1184,대전광역시,Z
1185,대전광역시,Z
1186,대전광역시,Z
1187,대전광역시,Z
1188,대전광역시,Z
1189,대전광역시,Z
1190,대전광역시,Z
1191,대전광역시,Z
1192,대전광역시,Z
1193,대전광역시,Z
1194,대전광역시,Z
1195,대전광역시,Z
1196,대전광역시,Z
1197,대전광역시,Z
1198,대전광역시,Z
1199,대전광역시,Z
1200,대전광역시,Z
1201,대전광역시,Z
1202,대전광역시,Z
1203,대전광역시,Z
1204,대전광역시,Z
1205,대전광역시,Z
1206,대전광역시,Z
1207,대전광역시,Z
1208,대전광역시,Z
1209,대전광역시,Z
1210,대전광역시,Z
1211,대전광역시,Z
1212,대전광역시,Z
1213,대전광역시,Z
1214,대전광역시,Z
1215,대전광역시,Z
1216,대전광역시,Z
1217,대전광역시,Z
1218,대전광역시,Z
1219,대전광역시,Z
1220,대전광역시,Z
1221,대전광역시,Z
1222,대전광역시,Z
1223,대전광역시,Z
1224,대전광역시,Z
1225,대전광역시,Z
1226,대전광역시,Z
1227,대전광역시,Z
1228,대전광역시,Z
1229,대전광역시,Z
1230,대전광역시,Z
1231,대전광역시,Z
1232,대전광역시,Z
1233,대전광역시,Z
1234,대전광역시,Z
1235,대전광역시,Z
1236,대전광역시,Z
1237,대전광역시,Z
1238,대전광역시,Z
1239,대전광역시,Z
1240,대전광역시,Z
1241,대전광역시,Z
1242,대전광역시,Z
1243,대전광역시,Z
